name,pd_notation
10_109_0,"[[5, 15, 6, 14], [7, 3, 8, 2], [11, 5, 12, 4], [19, 12, 20, 13], [17, 8, 18, 9], [9, 18, 10, 19], [1, 16, 2, 17], [13, 20, 14, 1], [15, 7, 16, 6], [3, 11, 4, 10]]"
10_109_1,"[[3, 11, 4, 10], [5, 15, 6, 14], [7, 3, 8, 2], [11, 5, 12, 4], [19, 12, 20, 13], [17, 8, 18, 9], [9, 18, 10, 19], [1, 16, 2, 17], [13, 20, 14, 1], [15, 7, 16, 6]]"
10_109_2,"[[15, 7, 16, 6], [3, 11, 4, 10], [5, 15, 6, 14], [7, 3, 8, 2], [11, 5, 12, 4], [19, 12, 20, 13], [17, 8, 18, 9], [9, 18, 10, 19], [1, 16, 2, 17], [13, 20, 14, 1]]"
10_109_3,"[[13, 20, 14, 1], [15, 7, 16, 6], [3, 11, 4, 10], [5, 15, 6, 14], [7, 3, 8, 2], [11, 5, 12, 4], [19, 12, 20, 13], [17, 8, 18, 9], [9, 18, 10, 19], [1, 16, 2, 17]]"
10_109_4,"[[1, 16, 2, 17], [13, 20, 14, 1], [15, 7, 16, 6], [3, 11, 4, 10], [5, 15, 6, 14], [7, 3, 8, 2], [11, 5, 12, 4], [19, 12, 20, 13], [17, 8, 18, 9], [9, 18, 10, 19]]"
10_109_5,"[[9, 18, 10, 19], [1, 16, 2, 17], [13, 20, 14, 1], [15, 7, 16, 6], [3, 11, 4, 10], [5, 15, 6, 14], [7, 3, 8, 2], [11, 5, 12, 4], [19, 12, 20, 13], [17, 8, 18, 9]]"
10_109_6,"[[17, 8, 18, 9], [9, 18, 10, 19], [1, 16, 2, 17], [13, 20, 14, 1], [15, 7, 16, 6], [3, 11, 4, 10], [5, 15, 6, 14], [7, 3, 8, 2], [11, 5, 12, 4], [19, 12, 20, 13]]"
10_109_7,"[[19, 12, 20, 13], [17, 8, 18, 9], [9, 18, 10, 19], [1, 16, 2, 17], [13, 20, 14, 1], [15, 7, 16, 6], [3, 11, 4, 10], [5, 15, 6, 14], [7, 3, 8, 2], [11, 5, 12, 4]]"
10_109_8,"[[11, 5, 12, 4], [19, 12, 20, 13], [17, 8, 18, 9], [9, 18, 10, 19], [1, 16, 2, 17], [13, 20, 14, 1], [15, 7, 16, 6], [3, 11, 4, 10], [5, 15, 6, 14], [7, 3, 8, 2]]"
10_109_9,"[[7, 3, 8, 2], [11, 5, 12, 4], [19, 12, 20, 13], [17, 8, 18, 9], [9, 18, 10, 19], [1, 16, 2, 17], [13, 20, 14, 1], [15, 7, 16, 6], [3, 11, 4, 10], [5, 15, 6, 14]]"
10_109_10,"[[6, 16, 7, 15], [8, 4, 9, 3], [12, 6, 13, 5], [20, 13, 1, 14], [18, 9, 19, 10], [10, 19, 11, 20], [2, 17, 3, 18], [14, 1, 15, 2], [16, 8, 17, 7], [4, 12, 5, 11]]"
