name,computed_bridge_index
12n_0831_0,3
12n_0831_1,3
12n_0831_2,4
12n_0831_3,4
12n_0831_4,3
12n_0831_5,3
12n_0831_6,4
12n_0831_7,3
12n_0831_8,3
12n_0831_9,4
12n_0831_10,4
12n_0831_11,5
12n_0831_12,3
12n_0831_13,3
12n_0831_14,4
12n_0831_15,4
12n_0831_16,3
12n_0831_17,3
12n_0831_18,4
12n_0831_19,3
12n_0831_20,3
12n_0831_21,4
12n_0831_22,4
12n_0831_23,5
12n_0831_24,3
12n_0831_25,3
12n_0831_26,4
12n_0831_27,4
12n_0831_28,3
12n_0831_29,3
12n_0831_30,4
12n_0831_31,3
12n_0831_32,3
12n_0831_33,4
12n_0831_34,4
12n_0831_35,5
12n_0831_36,3
12n_0831_37,3
12n_0831_38,4
12n_0831_39,4
12n_0831_40,3
12n_0831_41,3
12n_0831_42,4
12n_0831_43,3
12n_0831_44,3
12n_0831_45,4
12n_0831_46,4
12n_0831_47,5
12n_0831_48,3
12n_0831_49,3
12n_0831_50,4
12n_0831_51,4
12n_0831_52,3
12n_0831_53,3
12n_0831_54,4
12n_0831_55,3
12n_0831_56,3
12n_0831_57,4
12n_0831_58,4
12n_0831_59,5
12n_0831_60,3
12n_0831_61,3
12n_0831_62,4
12n_0831_63,4
12n_0831_64,3
12n_0831_65,3
12n_0831_66,4
12n_0831_67,3
12n_0831_68,3
12n_0831_69,4
12n_0831_70,4
12n_0831_71,5
12n_0831_72,3
12n_0831_73,3
12n_0831_74,4
12n_0831_75,4
12n_0831_76,3
12n_0831_77,3
12n_0831_78,4
12n_0831_79,3
12n_0831_80,3
12n_0831_81,4
12n_0831_82,4
12n_0831_83,5
12n_0831_84,3
12n_0831_85,3
12n_0831_86,4
12n_0831_87,4
12n_0831_88,3
12n_0831_89,3
12n_0831_90,4
12n_0831_91,3
12n_0831_92,3
12n_0831_93,4
12n_0831_94,4
12n_0831_95,5
12n_0831_96,3
12n_0831_97,3
12n_0831_98,4
12n_0831_99,4
12n_0831_100,3
12n_0831_101,3
12n_0831_102,4
12n_0831_103,3
12n_0831_104,3
12n_0831_105,4
12n_0831_106,4
12n_0831_107,5
12n_0831_108,3
12n_0831_109,3
12n_0831_110,4
12n_0831_111,4
12n_0831_112,3
12n_0831_113,3
12n_0831_114,4
12n_0831_115,3
12n_0831_116,3
12n_0831_117,4
12n_0831_118,4
12n_0831_119,5
12n_0831_120,3
12n_0831_121,3
12n_0831_122,4
12n_0831_123,4
12n_0831_124,3
12n_0831_125,3
12n_0831_126,4
12n_0831_127,3
12n_0831_128,3
12n_0831_129,4
12n_0831_130,4
12n_0831_131,5
12n_0831_132,3
12n_0831_133,3
12n_0831_134,4
12n_0831_135,4
12n_0831_136,3
12n_0831_137,3
12n_0831_138,4
12n_0831_139,3
12n_0831_140,3
12n_0831_141,4
12n_0831_142,4
12n_0831_143,5
12n_0831_144,3
12n_0831_145,3
12n_0831_146,4
12n_0831_147,4
12n_0831_148,3
12n_0831_149,3
12n_0831_150,4
12n_0831_151,3
12n_0831_152,3
12n_0831_153,4
12n_0831_154,4
12n_0831_155,5
12n_0831_156,3
12n_0831_157,3
12n_0831_158,4
12n_0831_159,4
12n_0831_160,3
12n_0831_161,3
12n_0831_162,4
12n_0831_163,3
12n_0831_164,3
12n_0831_165,4
12n_0831_166,4
12n_0831_167,5
12n_0831_168,3
12n_0831_169,3
12n_0831_170,4
12n_0831_171,4
12n_0831_172,3
12n_0831_173,3
12n_0831_174,4
12n_0831_175,3
12n_0831_176,3
12n_0831_177,4
12n_0831_178,4
12n_0831_179,5
12n_0831_180,3
12n_0831_181,3
12n_0831_182,4
12n_0831_183,4
12n_0831_184,3
12n_0831_185,3
12n_0831_186,4
12n_0831_187,3
12n_0831_188,3
12n_0831_189,4
12n_0831_190,4
12n_0831_191,5
12n_0831_192,3
12n_0831_193,3
12n_0831_194,4
12n_0831_195,4
12n_0831_196,3
12n_0831_197,3
12n_0831_198,4
12n_0831_199,3
12n_0831_200,3
12n_0831_201,4
12n_0831_202,4
12n_0831_203,5
12n_0831_204,3
12n_0831_205,3
12n_0831_206,4
12n_0831_207,4
12n_0831_208,3
12n_0831_209,3
12n_0831_210,4
12n_0831_211,3
12n_0831_212,3
12n_0831_213,4
12n_0831_214,4
12n_0831_215,5
12n_0831_216,3
12n_0831_217,3
12n_0831_218,4
12n_0831_219,4
12n_0831_220,3
12n_0831_221,3
12n_0831_222,4
12n_0831_223,3
12n_0831_224,3
12n_0831_225,4
12n_0831_226,4
12n_0831_227,5
12n_0831_228,3
12n_0831_229,3
12n_0831_230,4
12n_0831_231,4
12n_0831_232,3
12n_0831_233,3
12n_0831_234,4
12n_0831_235,3
12n_0831_236,3
12n_0831_237,4
12n_0831_238,4
12n_0831_239,5
12n_0831_240,3
12n_0831_241,3
12n_0831_242,4
12n_0831_243,4
12n_0831_244,3
12n_0831_245,3
12n_0831_246,4
12n_0831_247,3
12n_0831_248,3
12n_0831_249,4
12n_0831_250,4
12n_0831_251,5
12n_0831_252,3
12n_0831_253,3
12n_0831_254,4
12n_0831_255,4
12n_0831_256,3
12n_0831_257,3
12n_0831_258,4
12n_0831_259,3
12n_0831_260,3
12n_0831_261,4
12n_0831_262,4
12n_0831_263,5
12n_0831_264,3
12n_0831_265,3
12n_0831_266,4
12n_0831_267,4
12n_0831_268,3
12n_0831_269,3
12n_0831_270,4
12n_0831_271,3
12n_0831_272,3
12n_0831_273,4
12n_0831_274,4
12n_0831_275,5
12n_0831_276,3
12n_0831_277,3
12n_0831_278,4
12n_0831_279,4
12n_0831_280,3
12n_0831_281,3
12n_0831_282,4
12n_0831_283,3
12n_0831_284,3
12n_0831_285,4
12n_0831_286,4
12n_0831_287,5
12n_0831_reversed_288,3
12n_0831_reversed_289,4
12n_0831_reversed_290,4
12n_0831_reversed_291,4
12n_0831_reversed_292,3
12n_0831_reversed_293,4
12n_0831_reversed_294,3
12n_0831_reversed_295,4
12n_0831_reversed_296,4
12n_0831_reversed_297,3
12n_0831_reversed_298,3
12n_0831_reversed_299,3
12n_0831_reversed_300,3
12n_0831_reversed_301,4
