name,computed_bridge_index
12n_0885_0,3
12n_0885_1,3
12n_0885_2,4
12n_0885_3,5
12n_0885_4,3
12n_0885_5,3
12n_0885_6,3
12n_0885_7,4
12n_0885_8,3
12n_0885_9,4
12n_0885_10,3
12n_0885_11,4
12n_0885_12,3
12n_0885_13,3
12n_0885_14,4
12n_0885_15,5
12n_0885_16,3
12n_0885_17,3
12n_0885_18,3
12n_0885_19,4
12n_0885_20,3
12n_0885_21,4
12n_0885_22,3
12n_0885_23,4
12n_0885_24,3
12n_0885_25,3
12n_0885_26,4
12n_0885_27,5
12n_0885_28,3
12n_0885_29,3
12n_0885_30,3
12n_0885_31,4
12n_0885_32,3
12n_0885_33,4
12n_0885_34,3
12n_0885_35,4
12n_0885_36,3
12n_0885_37,3
12n_0885_38,4
12n_0885_39,5
12n_0885_40,3
12n_0885_41,3
12n_0885_42,3
12n_0885_43,4
12n_0885_44,3
12n_0885_45,4
12n_0885_46,3
12n_0885_47,4
12n_0885_48,3
12n_0885_49,3
12n_0885_50,4
12n_0885_51,5
12n_0885_52,3
12n_0885_53,3
12n_0885_54,3
12n_0885_55,4
12n_0885_56,3
12n_0885_57,4
12n_0885_58,3
12n_0885_59,4
12n_0885_60,3
12n_0885_61,3
12n_0885_62,4
12n_0885_63,5
12n_0885_64,3
12n_0885_65,3
12n_0885_66,3
12n_0885_67,4
12n_0885_68,3
12n_0885_69,4
12n_0885_70,3
12n_0885_71,4
12n_0885_72,3
12n_0885_73,3
12n_0885_74,4
12n_0885_75,5
12n_0885_76,3
12n_0885_77,3
12n_0885_78,3
12n_0885_79,4
12n_0885_80,3
12n_0885_81,4
12n_0885_82,3
12n_0885_83,4
12n_0885_84,3
12n_0885_85,3
12n_0885_86,4
12n_0885_87,5
12n_0885_88,3
12n_0885_89,3
12n_0885_90,3
12n_0885_91,4
12n_0885_92,3
12n_0885_93,4
12n_0885_94,3
12n_0885_95,4
12n_0885_96,3
12n_0885_97,3
12n_0885_98,4
12n_0885_99,5
12n_0885_100,3
12n_0885_101,3
12n_0885_102,3
12n_0885_103,4
12n_0885_104,3
12n_0885_105,4
12n_0885_106,3
12n_0885_107,4
12n_0885_108,3
12n_0885_109,3
12n_0885_110,4
12n_0885_111,5
12n_0885_112,3
12n_0885_113,3
12n_0885_114,3
12n_0885_115,4
12n_0885_116,3
12n_0885_117,4
12n_0885_118,3
12n_0885_119,4
12n_0885_120,3
12n_0885_121,3
12n_0885_122,4
12n_0885_123,5
12n_0885_124,3
12n_0885_125,3
12n_0885_126,3
12n_0885_127,4
12n_0885_128,3
12n_0885_129,4
12n_0885_130,3
12n_0885_131,4
12n_0885_132,3
12n_0885_133,3
12n_0885_134,4
12n_0885_135,5
12n_0885_136,3
12n_0885_137,3
12n_0885_138,3
12n_0885_139,4
12n_0885_140,3
12n_0885_141,4
12n_0885_142,3
12n_0885_143,4
12n_0885_144,3
12n_0885_145,3
12n_0885_146,4
12n_0885_147,5
12n_0885_148,3
12n_0885_149,3
12n_0885_150,3
12n_0885_151,4
12n_0885_152,3
12n_0885_153,4
12n_0885_154,3
12n_0885_155,4
12n_0885_156,3
12n_0885_157,3
12n_0885_158,4
12n_0885_159,5
12n_0885_160,3
12n_0885_161,3
12n_0885_162,3
12n_0885_163,4
12n_0885_164,3
12n_0885_165,4
12n_0885_166,3
12n_0885_167,4
12n_0885_168,3
12n_0885_169,3
12n_0885_170,4
12n_0885_171,5
12n_0885_172,3
12n_0885_173,3
12n_0885_174,3
12n_0885_175,4
12n_0885_176,3
12n_0885_177,4
12n_0885_178,3
12n_0885_179,4
12n_0885_180,3
12n_0885_181,3
12n_0885_182,4
12n_0885_183,5
12n_0885_184,3
12n_0885_185,3
12n_0885_186,3
12n_0885_187,4
12n_0885_188,3
12n_0885_189,4
12n_0885_190,3
12n_0885_191,4
12n_0885_192,3
12n_0885_193,3
12n_0885_194,4
12n_0885_195,5
12n_0885_196,3
12n_0885_197,3
12n_0885_198,3
12n_0885_199,4
12n_0885_200,3
12n_0885_201,4
12n_0885_202,3
12n_0885_203,4
12n_0885_204,3
12n_0885_205,3
12n_0885_206,4
12n_0885_207,5
12n_0885_208,3
12n_0885_209,3
12n_0885_210,3
12n_0885_211,4
12n_0885_212,3
12n_0885_213,4
12n_0885_214,3
12n_0885_215,4
12n_0885_216,3
12n_0885_217,3
12n_0885_218,4
12n_0885_219,5
12n_0885_220,3
12n_0885_221,3
12n_0885_222,3
12n_0885_223,4
12n_0885_224,3
12n_0885_225,4
12n_0885_226,3
12n_0885_227,4
12n_0885_228,3
12n_0885_229,3
12n_0885_230,4
12n_0885_231,5
12n_0885_232,3
12n_0885_233,3
12n_0885_234,3
12n_0885_235,4
12n_0885_236,3
12n_0885_237,4
12n_0885_238,3
12n_0885_239,4
12n_0885_240,3
12n_0885_241,3
12n_0885_242,4
12n_0885_243,5
12n_0885_244,3
12n_0885_245,3
12n_0885_246,3
12n_0885_247,4
12n_0885_248,3
12n_0885_249,4
12n_0885_250,3
12n_0885_251,4
12n_0885_252,3
12n_0885_253,3
12n_0885_254,4
12n_0885_255,5
12n_0885_256,3
12n_0885_257,3
12n_0885_258,3
12n_0885_259,4
12n_0885_260,3
12n_0885_261,4
12n_0885_262,3
12n_0885_263,4
12n_0885_264,3
12n_0885_265,3
12n_0885_266,4
12n_0885_267,5
12n_0885_268,3
12n_0885_269,3
12n_0885_270,3
12n_0885_271,4
12n_0885_272,3
12n_0885_273,4
12n_0885_274,3
12n_0885_275,4
12n_0885_276,3
12n_0885_277,3
12n_0885_278,4
12n_0885_279,5
12n_0885_280,3
12n_0885_281,3
12n_0885_282,3
12n_0885_283,4
12n_0885_284,3
12n_0885_285,4
12n_0885_286,3
12n_0885_287,4
12n_0885_reversed_288,3
12n_0885_reversed_289,4
12n_0885_reversed_290,3
12n_0885_reversed_291,4
12n_0885_reversed_292,3
12n_0885_reversed_293,3
12n_0885_reversed_294,4
12n_0885_reversed_295,3
12n_0885_reversed_296,3
12n_0885_reversed_297,4
12n_0885_reversed_298,3
12n_0885_reversed_299,3
12n_0885_reversed_300,3
12n_0885_reversed_301,4
12n_0885_reversed_302,3
12n_0885_reversed_303,4
12n_0885_reversed_304,3
12n_0885_reversed_305,3
12n_0885_reversed_306,4
12n_0885_reversed_307,3
12n_0885_reversed_308,3
12n_0885_reversed_309,4
12n_0885_reversed_310,3
12n_0885_reversed_311,3
12n_0885_reversed_312,3
12n_0885_reversed_313,4
12n_0885_reversed_314,3
12n_0885_reversed_315,4
12n_0885_reversed_316,3
12n_0885_reversed_317,3
12n_0885_reversed_318,4
12n_0885_reversed_319,3
12n_0885_reversed_320,3
12n_0885_reversed_321,4
12n_0885_reversed_322,3
12n_0885_reversed_323,3
12n_0885_reversed_324,3
12n_0885_reversed_325,4
12n_0885_reversed_326,3
12n_0885_reversed_327,4
12n_0885_reversed_328,3
12n_0885_reversed_329,3
12n_0885_reversed_330,4
12n_0885_reversed_331,3
12n_0885_reversed_332,3
12n_0885_reversed_333,4
12n_0885_reversed_334,3
12n_0885_reversed_335,3
12n_0885_reversed_336,3
12n_0885_reversed_337,4
12n_0885_reversed_338,3
12n_0885_reversed_339,4
12n_0885_reversed_340,3
12n_0885_reversed_341,3
12n_0885_reversed_342,4
12n_0885_reversed_343,3
12n_0885_reversed_344,3
12n_0885_reversed_345,4
12n_0885_reversed_346,3
12n_0885_reversed_347,3
12n_0885_reversed_348,3
12n_0885_reversed_349,4
12n_0885_reversed_350,3
12n_0885_reversed_351,4
12n_0885_reversed_352,3
12n_0885_reversed_353,3
