name,computed_bridge_index
12n_0807_reversed_310,3
12n_0807_reversed_311,3
12n_0807_reversed_312,4
12n_0807_reversed_313,3
12n_0807_reversed_314,4
12n_0807_reversed_315,4
12n_0807_reversed_316,3
12n_0807_reversed_317,4
12n_0807_reversed_318,3
12n_0807_reversed_319,3
12n_0807_reversed_320,4
12n_0807_reversed_321,4
12n_0807_reversed_322,3
12n_0807_reversed_323,3
12n_0807_reversed_324,4
12n_0807_reversed_325,3
12n_0807_reversed_326,4
12n_0807_reversed_327,4
12n_0807_reversed_328,3
12n_0807_reversed_329,4
12n_0807_reversed_330,3
12n_0807_reversed_331,3
12n_0807_reversed_332,4
12n_0807_reversed_333,4
12n_0807_reversed_334,3
12n_0807_reversed_335,3
12n_0807_reversed_336,4
12n_0807_reversed_337,3
12n_0807_reversed_338,4
12n_0807_reversed_339,4
12n_0807_reversed_340,3
12n_0807_reversed_341,4
12n_0807_reversed_342,3
12n_0807_reversed_343,3
12n_0807_reversed_344,4
12n_0807_reversed_345,4
12n_0807_reversed_346,3
12n_0807_reversed_347,3
12n_0807_reversed_348,4
12n_0807_reversed_349,3
12n_0807_reversed_350,4
12n_0807_reversed_351,4
12n_0807_reversed_352,3
12n_0807_reversed_353,4
12n_0807_reversed_354,3
12n_0807_reversed_355,3
12n_0807_reversed_356,4
12n_0807_reversed_357,4
12n_0807_reversed_358,3
12n_0807_reversed_359,3
12n_0807_reversed_360,4
12n_0807_reversed_361,3
12n_0807_reversed_362,4
12n_0807_reversed_363,4
12n_0807_reversed_364,3
12n_0807_reversed_365,4
12n_0807_reversed_366,3
12n_0807_reversed_367,3
12n_0807_reversed_368,4
12n_0807_reversed_369,4
12n_0807_reversed_370,3
12n_0807_reversed_371,3
12n_0807_reversed_372,4
12n_0807_reversed_373,3
12n_0807_reversed_374,4
12n_0807_reversed_375,4
12n_0807_reversed_376,3
12n_0807_reversed_377,4
12n_0807_reversed_378,3
12n_0807_reversed_379,3
12n_0807_reversed_380,4
12n_0807_reversed_381,4
12n_0807_reversed_382,3
12n_0807_reversed_383,3
12n_0807_reversed_384,4
12n_0807_reversed_385,3
12n_0807_reversed_386,4
12n_0807_reversed_387,4
12n_0807_reversed_388,3
12n_0807_reversed_389,4
12n_0807_reversed_390,3
12n_0807_reversed_391,3
12n_0807_reversed_392,4
12n_0807_reversed_393,4
12n_0807_reversed_394,3
12n_0807_reversed_395,3
12n_0807_reversed_396,4
12n_0807_reversed_397,3
12n_0807_reversed_398,4
12n_0807_reversed_399,4
12n_0807_reversed_400,3
12n_0807_reversed_401,4
12n_0807_reversed_402,3
12n_0807_reversed_403,3
12n_0807_reversed_404,4
12n_0807_reversed_405,4
12n_0807_reversed_406,3
12n_0807_reversed_407,3
12n_0807_reversed_408,4
12n_0807_reversed_409,3
12n_0807_reversed_410,4
12n_0807_reversed_411,4
12n_0807_reversed_412,3
12n_0807_reversed_413,4
12n_0807_reversed_414,3
12n_0807_reversed_415,3
12n_0807_reversed_416,4
12n_0807_reversed_417,4
12n_0807_reversed_418,3
12n_0807_reversed_419,3
12n_0807_reversed_420,4
12n_0807_reversed_421,3
12n_0807_reversed_422,4
12n_0807_reversed_423,4
12n_0807_reversed_424,3
12n_0807_reversed_425,4
12n_0807_reversed_426,3
12n_0807_reversed_427,3
12n_0807_reversed_428,4
12n_0807_reversed_429,4
12n_0807_reversed_430,3
12n_0807_reversed_431,3
12n_0807_reversed_432,4
12n_0807_reversed_433,3
12n_0807_reversed_434,4
12n_0807_reversed_435,4
12n_0807_reversed_436,3
12n_0807_reversed_437,4
12n_0807_reversed_438,3
12n_0807_reversed_439,3
12n_0807_reversed_440,4
12n_0807_reversed_441,4
12n_0807_reversed_442,3
12n_0807_reversed_443,3
12n_0807_reversed_444,4
12n_0807_reversed_445,3
12n_0807_reversed_446,4
12n_0807_reversed_447,4
12n_0807_reversed_448,3
12n_0807_reversed_449,4
12n_0807_reversed_450,3
12n_0807_reversed_451,3
12n_0807_reversed_452,4
12n_0807_reversed_453,4
12n_0807_reversed_454,3
12n_0807_reversed_455,3
12n_0807_reversed_456,4
12n_0807_reversed_457,3
12n_0807_reversed_458,4
12n_0807_reversed_459,4
12n_0807_reversed_460,3
12n_0807_reversed_461,4
12n_0807_reversed_462,3
12n_0807_reversed_463,3
12n_0807_reversed_464,4
12n_0807_reversed_465,4
12n_0807_reversed_466,3
12n_0807_reversed_467,3
12n_0807_reversed_468,4
12n_0807_reversed_469,3
12n_0807_reversed_470,4
12n_0807_reversed_471,4
12n_0807_reversed_472,3
12n_0807_reversed_473,4
12n_0807_reversed_474,3
12n_0807_reversed_475,3
12n_0807_reversed_476,4
12n_0807_reversed_477,4
12n_0807_reversed_478,3
12n_0807_reversed_479,3
12n_0807_reversed_480,4
12n_0807_reversed_481,3
12n_0807_reversed_482,4
12n_0807_reversed_483,4
12n_0807_reversed_484,3
12n_0807_reversed_485,4
12n_0807_reversed_486,3
12n_0807_reversed_487,3
12n_0807_reversed_488,4
12n_0807_reversed_489,4
12n_0807_reversed_490,3
12n_0807_reversed_491,3
12n_0807_reversed_492,4
12n_0807_reversed_493,3
12n_0807_reversed_494,4
12n_0807_reversed_495,4
12n_0807_reversed_496,3
12n_0807_reversed_497,4
12n_0807_reversed_498,3
12n_0807_reversed_499,3
12n_0807_reversed_500,4
12n_0807_reversed_501,4
12n_0807_reversed_502,3
12n_0807_reversed_503,3
12n_0807_reversed_504,4
12n_0807_reversed_505,3
12n_0807_reversed_506,4
12n_0807_reversed_507,4
12n_0807_reversed_508,3
12n_0807_reversed_509,4
12n_0807_reversed_510,3
12n_0807_reversed_511,3
12n_0807_reversed_512,4
12n_0807_reversed_513,4
12n_0807_reversed_514,3
12n_0807_reversed_515,3
12n_0807_reversed_516,4
12n_0807_reversed_517,3
12n_0807_reversed_518,4
12n_0807_reversed_519,4
12n_0807_reversed_520,3
12n_0807_reversed_521,4
12n_0807_reversed_522,3
12n_0807_reversed_523,3
