name,pd_notation
10_127_0,"[[20, 14, 1, 13], [2, 8, 3, 7], [5, 16, 6, 17], [6, 10, 7, 9], [8, 4, 9, 3], [10, 16, 11, 15], [12, 20, 13, 19], [14, 2, 15, 1], [17, 4, 18, 5], [18, 12, 19, 11]]"
10_127_1,"[[18, 12, 19, 11], [20, 14, 1, 13], [2, 8, 3, 7], [5, 16, 6, 17], [6, 10, 7, 9], [8, 4, 9, 3], [10, 16, 11, 15], [12, 20, 13, 19], [14, 2, 15, 1], [17, 4, 18, 5]]"
10_127_2,"[[17, 4, 18, 5], [18, 12, 19, 11], [20, 14, 1, 13], [2, 8, 3, 7], [5, 16, 6, 17], [6, 10, 7, 9], [8, 4, 9, 3], [10, 16, 11, 15], [12, 20, 13, 19], [14, 2, 15, 1]]"
10_127_3,"[[14, 2, 15, 1], [17, 4, 18, 5], [18, 12, 19, 11], [20, 14, 1, 13], [2, 8, 3, 7], [5, 16, 6, 17], [6, 10, 7, 9], [8, 4, 9, 3], [10, 16, 11, 15], [12, 20, 13, 19]]"
10_127_4,"[[12, 20, 13, 19], [14, 2, 15, 1], [17, 4, 18, 5], [18, 12, 19, 11], [20, 14, 1, 13], [2, 8, 3, 7], [5, 16, 6, 17], [6, 10, 7, 9], [8, 4, 9, 3], [10, 16, 11, 15]]"
10_127_5,"[[10, 16, 11, 15], [12, 20, 13, 19], [14, 2, 15, 1], [17, 4, 18, 5], [18, 12, 19, 11], [20, 14, 1, 13], [2, 8, 3, 7], [5, 16, 6, 17], [6, 10, 7, 9], [8, 4, 9, 3]]"
10_127_6,"[[8, 4, 9, 3], [10, 16, 11, 15], [12, 20, 13, 19], [14, 2, 15, 1], [17, 4, 18, 5], [18, 12, 19, 11], [20, 14, 1, 13], [2, 8, 3, 7], [5, 16, 6, 17], [6, 10, 7, 9]]"
10_127_7,"[[6, 10, 7, 9], [8, 4, 9, 3], [10, 16, 11, 15], [12, 20, 13, 19], [14, 2, 15, 1], [17, 4, 18, 5], [18, 12, 19, 11], [20, 14, 1, 13], [2, 8, 3, 7], [5, 16, 6, 17]]"
10_127_8,"[[5, 16, 6, 17], [6, 10, 7, 9], [8, 4, 9, 3], [10, 16, 11, 15], [12, 20, 13, 19], [14, 2, 15, 1], [17, 4, 18, 5], [18, 12, 19, 11], [20, 14, 1, 13], [2, 8, 3, 7]]"
10_127_9,"[[2, 8, 3, 7], [5, 16, 6, 17], [6, 10, 7, 9], [8, 4, 9, 3], [10, 16, 11, 15], [12, 20, 13, 19], [14, 2, 15, 1], [17, 4, 18, 5], [18, 12, 19, 11], [20, 14, 1, 13]]"
10_127_10,"[[1, 15, 2, 14], [3, 9, 4, 8], [6, 17, 7, 18], [7, 11, 8, 10], [9, 5, 10, 4], [11, 17, 12, 16], [13, 1, 14, 20], [15, 3, 16, 2], [18, 5, 19, 6], [19, 13, 20, 12]]"
10_127_11,"[[19, 13, 20, 12], [1, 15, 2, 14], [3, 9, 4, 8], [6, 17, 7, 18], [7, 11, 8, 10], [9, 5, 10, 4], [11, 17, 12, 16], [13, 1, 14, 20], [15, 3, 16, 2], [18, 5, 19, 6]]"
10_127_12,"[[18, 5, 19, 6], [19, 13, 20, 12], [1, 15, 2, 14], [3, 9, 4, 8], [6, 17, 7, 18], [7, 11, 8, 10], [9, 5, 10, 4], [11, 17, 12, 16], [13, 1, 14, 20], [15, 3, 16, 2]]"
10_127_13,"[[15, 3, 16, 2], [18, 5, 19, 6], [19, 13, 20, 12], [1, 15, 2, 14], [3, 9, 4, 8], [6, 17, 7, 18], [7, 11, 8, 10], [9, 5, 10, 4], [11, 17, 12, 16], [13, 1, 14, 20]]"
10_127_14,"[[13, 1, 14, 20], [15, 3, 16, 2], [18, 5, 19, 6], [19, 13, 20, 12], [1, 15, 2, 14], [3, 9, 4, 8], [6, 17, 7, 18], [7, 11, 8, 10], [9, 5, 10, 4], [11, 17, 12, 16]]"
10_127_15,"[[11, 17, 12, 16], [13, 1, 14, 20], [15, 3, 16, 2], [18, 5, 19, 6], [19, 13, 20, 12], [1, 15, 2, 14], [3, 9, 4, 8], [6, 17, 7, 18], [7, 11, 8, 10], [9, 5, 10, 4]]"
10_127_16,"[[9, 5, 10, 4], [11, 17, 12, 16], [13, 1, 14, 20], [15, 3, 16, 2], [18, 5, 19, 6], [19, 13, 20, 12], [1, 15, 2, 14], [3, 9, 4, 8], [6, 17, 7, 18], [7, 11, 8, 10]]"
10_127_17,"[[7, 11, 8, 10], [9, 5, 10, 4], [11, 17, 12, 16], [13, 1, 14, 20], [15, 3, 16, 2], [18, 5, 19, 6], [19, 13, 20, 12], [1, 15, 2, 14], [3, 9, 4, 8], [6, 17, 7, 18]]"
10_127_18,"[[6, 17, 7, 18], [7, 11, 8, 10], [9, 5, 10, 4], [11, 17, 12, 16], [13, 1, 14, 20], [15, 3, 16, 2], [18, 5, 19, 6], [19, 13, 20, 12], [1, 15, 2, 14], [3, 9, 4, 8]]"
10_127_19,"[[3, 9, 4, 8], [6, 17, 7, 18], [7, 11, 8, 10], [9, 5, 10, 4], [11, 17, 12, 16], [13, 1, 14, 20], [15, 3, 16, 2], [18, 5, 19, 6], [19, 13, 20, 12], [1, 15, 2, 14]]"
10_127_20,"[[2, 16, 3, 15], [4, 10, 5, 9], [7, 18, 8, 19], [8, 12, 9, 11], [10, 6, 11, 5], [12, 18, 13, 17], [14, 2, 15, 1], [16, 4, 17, 3], [19, 6, 20, 7], [20, 14, 1, 13]]"
10_127_21,"[[20, 14, 1, 13], [2, 16, 3, 15], [4, 10, 5, 9], [7, 18, 8, 19], [8, 12, 9, 11], [10, 6, 11, 5], [12, 18, 13, 17], [14, 2, 15, 1], [16, 4, 17, 3], [19, 6, 20, 7]]"
10_127_22,"[[19, 6, 20, 7], [20, 14, 1, 13], [2, 16, 3, 15], [4, 10, 5, 9], [7, 18, 8, 19], [8, 12, 9, 11], [10, 6, 11, 5], [12, 18, 13, 17], [14, 2, 15, 1], [16, 4, 17, 3]]"
10_127_23,"[[16, 4, 17, 3], [19, 6, 20, 7], [20, 14, 1, 13], [2, 16, 3, 15], [4, 10, 5, 9], [7, 18, 8, 19], [8, 12, 9, 11], [10, 6, 11, 5], [12, 18, 13, 17], [14, 2, 15, 1]]"
10_127_24,"[[14, 2, 15, 1], [16, 4, 17, 3], [19, 6, 20, 7], [20, 14, 1, 13], [2, 16, 3, 15], [4, 10, 5, 9], [7, 18, 8, 19], [8, 12, 9, 11], [10, 6, 11, 5], [12, 18, 13, 17]]"
10_127_25,"[[12, 18, 13, 17], [14, 2, 15, 1], [16, 4, 17, 3], [19, 6, 20, 7], [20, 14, 1, 13], [2, 16, 3, 15], [4, 10, 5, 9], [7, 18, 8, 19], [8, 12, 9, 11], [10, 6, 11, 5]]"
