name,pd_notation
9_34_0,"[[1, 11, 2, 10], [3, 14, 4, 15], [5, 18, 6, 1], [7, 17, 8, 16], [9, 5, 10, 4], [11, 6, 12, 7], [13, 9, 14, 8], [15, 2, 16, 3], [17, 12, 18, 13]]"
9_34_1,"[[17, 12, 18, 13], [1, 11, 2, 10], [3, 14, 4, 15], [5, 18, 6, 1], [7, 17, 8, 16], [9, 5, 10, 4], [11, 6, 12, 7], [13, 9, 14, 8], [15, 2, 16, 3]]"
9_34_2,"[[15, 2, 16, 3], [17, 12, 18, 13], [1, 11, 2, 10], [3, 14, 4, 15], [5, 18, 6, 1], [7, 17, 8, 16], [9, 5, 10, 4], [11, 6, 12, 7], [13, 9, 14, 8]]"
9_34_3,"[[13, 9, 14, 8], [15, 2, 16, 3], [17, 12, 18, 13], [1, 11, 2, 10], [3, 14, 4, 15], [5, 18, 6, 1], [7, 17, 8, 16], [9, 5, 10, 4], [11, 6, 12, 7]]"
9_34_4,"[[11, 6, 12, 7], [13, 9, 14, 8], [15, 2, 16, 3], [17, 12, 18, 13], [1, 11, 2, 10], [3, 14, 4, 15], [5, 18, 6, 1], [7, 17, 8, 16], [9, 5, 10, 4]]"
9_34_5,"[[9, 5, 10, 4], [11, 6, 12, 7], [13, 9, 14, 8], [15, 2, 16, 3], [17, 12, 18, 13], [1, 11, 2, 10], [3, 14, 4, 15], [5, 18, 6, 1], [7, 17, 8, 16]]"
9_34_6,"[[7, 17, 8, 16], [9, 5, 10, 4], [11, 6, 12, 7], [13, 9, 14, 8], [15, 2, 16, 3], [17, 12, 18, 13], [1, 11, 2, 10], [3, 14, 4, 15], [5, 18, 6, 1]]"
9_34_7,"[[5, 18, 6, 1], [7, 17, 8, 16], [9, 5, 10, 4], [11, 6, 12, 7], [13, 9, 14, 8], [15, 2, 16, 3], [17, 12, 18, 13], [1, 11, 2, 10], [3, 14, 4, 15]]"
9_34_8,"[[3, 14, 4, 15], [5, 18, 6, 1], [7, 17, 8, 16], [9, 5, 10, 4], [11, 6, 12, 7], [13, 9, 14, 8], [15, 2, 16, 3], [17, 12, 18, 13], [1, 11, 2, 10]]"
9_34_9,"[[2, 12, 3, 11], [4, 15, 5, 16], [6, 1, 7, 2], [8, 18, 9, 17], [10, 6, 11, 5], [12, 7, 13, 8], [14, 10, 15, 9], [16, 3, 17, 4], [18, 13, 1, 14]]"
9_34_10,"[[18, 13, 1, 14], [2, 12, 3, 11], [4, 15, 5, 16], [6, 1, 7, 2], [8, 18, 9, 17], [10, 6, 11, 5], [12, 7, 13, 8], [14, 10, 15, 9], [16, 3, 17, 4]]"
9_34_11,"[[16, 3, 17, 4], [18, 13, 1, 14], [2, 12, 3, 11], [4, 15, 5, 16], [6, 1, 7, 2], [8, 18, 9, 17], [10, 6, 11, 5], [12, 7, 13, 8], [14, 10, 15, 9]]"
9_34_12,"[[14, 10, 15, 9], [16, 3, 17, 4], [18, 13, 1, 14], [2, 12, 3, 11], [4, 15, 5, 16], [6, 1, 7, 2], [8, 18, 9, 17], [10, 6, 11, 5], [12, 7, 13, 8]]"
9_34_13,"[[12, 7, 13, 8], [14, 10, 15, 9], [16, 3, 17, 4], [18, 13, 1, 14], [2, 12, 3, 11], [4, 15, 5, 16], [6, 1, 7, 2], [8, 18, 9, 17], [10, 6, 11, 5]]"
9_34_14,"[[10, 6, 11, 5], [12, 7, 13, 8], [14, 10, 15, 9], [16, 3, 17, 4], [18, 13, 1, 14], [2, 12, 3, 11], [4, 15, 5, 16], [6, 1, 7, 2], [8, 18, 9, 17]]"
9_34_15,"[[8, 18, 9, 17], [10, 6, 11, 5], [12, 7, 13, 8], [14, 10, 15, 9], [16, 3, 17, 4], [18, 13, 1, 14], [2, 12, 3, 11], [4, 15, 5, 16], [6, 1, 7, 2]]"
9_34_16,"[[6, 1, 7, 2], [8, 18, 9, 17], [10, 6, 11, 5], [12, 7, 13, 8], [14, 10, 15, 9], [16, 3, 17, 4], [18, 13, 1, 14], [2, 12, 3, 11], [4, 15, 5, 16]]"
9_34_17,"[[4, 15, 5, 16], [6, 1, 7, 2], [8, 18, 9, 17], [10, 6, 11, 5], [12, 7, 13, 8], [14, 10, 15, 9], [16, 3, 17, 4], [18, 13, 1, 14], [2, 12, 3, 11]]"
9_34_18,"[[3, 13, 4, 12], [5, 16, 6, 17], [7, 2, 8, 3], [9, 1, 10, 18], [11, 7, 12, 6], [13, 8, 14, 9], [15, 11, 16, 10], [17, 4, 18, 5], [1, 14, 2, 15]]"
9_34_19,"[[1, 14, 2, 15], [3, 13, 4, 12], [5, 16, 6, 17], [7, 2, 8, 3], [9, 1, 10, 18], [11, 7, 12, 6], [13, 8, 14, 9], [15, 11, 16, 10], [17, 4, 18, 5]]"
9_34_20,"[[17, 4, 18, 5], [1, 14, 2, 15], [3, 13, 4, 12], [5, 16, 6, 17], [7, 2, 8, 3], [9, 1, 10, 18], [11, 7, 12, 6], [13, 8, 14, 9], [15, 11, 16, 10]]"
9_34_21,"[[15, 11, 16, 10], [17, 4, 18, 5], [1, 14, 2, 15], [3, 13, 4, 12], [5, 16, 6, 17], [7, 2, 8, 3], [9, 1, 10, 18], [11, 7, 12, 6], [13, 8, 14, 9]]"
9_34_22,"[[13, 8, 14, 9], [15, 11, 16, 10], [17, 4, 18, 5], [1, 14, 2, 15], [3, 13, 4, 12], [5, 16, 6, 17], [7, 2, 8, 3], [9, 1, 10, 18], [11, 7, 12, 6]]"
9_34_23,"[[11, 7, 12, 6], [13, 8, 14, 9], [15, 11, 16, 10], [17, 4, 18, 5], [1, 14, 2, 15], [3, 13, 4, 12], [5, 16, 6, 17], [7, 2, 8, 3], [9, 1, 10, 18]]"
9_34_24,"[[9, 1, 10, 18], [11, 7, 12, 6], [13, 8, 14, 9], [15, 11, 16, 10], [17, 4, 18, 5], [1, 14, 2, 15], [3, 13, 4, 12], [5, 16, 6, 17], [7, 2, 8, 3]]"
9_34_25,"[[7, 2, 8, 3], [9, 1, 10, 18], [11, 7, 12, 6], [13, 8, 14, 9], [15, 11, 16, 10], [17, 4, 18, 5], [1, 14, 2, 15], [3, 13, 4, 12], [5, 16, 6, 17]]"
9_34_26,"[[5, 16, 6, 17], [7, 2, 8, 3], [9, 1, 10, 18], [11, 7, 12, 6], [13, 8, 14, 9], [15, 11, 16, 10], [17, 4, 18, 5], [1, 14, 2, 15], [3, 13, 4, 12]]"
9_34_27,"[[4, 14, 5, 13], [6, 17, 7, 18], [8, 3, 9, 4], [10, 2, 11, 1], [12, 8, 13, 7], [14, 9, 15, 10], [16, 12, 17, 11], [18, 5, 1, 6], [2, 15, 3, 16]]"
9_34_28,"[[2, 15, 3, 16], [4, 14, 5, 13], [6, 17, 7, 18], [8, 3, 9, 4], [10, 2, 11, 1], [12, 8, 13, 7], [14, 9, 15, 10], [16, 12, 17, 11], [18, 5, 1, 6]]"
9_34_29,"[[18, 5, 1, 6], [2, 15, 3, 16], [4, 14, 5, 13], [6, 17, 7, 18], [8, 3, 9, 4], [10, 2, 11, 1], [12, 8, 13, 7], [14, 9, 15, 10], [16, 12, 17, 11]]"
9_34_30,"[[16, 12, 17, 11], [18, 5, 1, 6], [2, 15, 3, 16], [4, 14, 5, 13], [6, 17, 7, 18], [8, 3, 9, 4], [10, 2, 11, 1], [12, 8, 13, 7], [14, 9, 15, 10]]"
