name,pd_notation
9_18_0,"[[1, 7, 2, 6], [3, 13, 4, 12], [5, 3, 6, 2], [7, 17, 8, 16], [9, 15, 10, 14], [11, 1, 12, 18], [13, 5, 14, 4], [15, 9, 16, 8], [17, 11, 18, 10]]"
9_18_1,"[[17, 11, 18, 10], [1, 7, 2, 6], [3, 13, 4, 12], [5, 3, 6, 2], [7, 17, 8, 16], [9, 15, 10, 14], [11, 1, 12, 18], [13, 5, 14, 4], [15, 9, 16, 8]]"
9_18_2,"[[15, 9, 16, 8], [17, 11, 18, 10], [1, 7, 2, 6], [3, 13, 4, 12], [5, 3, 6, 2], [7, 17, 8, 16], [9, 15, 10, 14], [11, 1, 12, 18], [13, 5, 14, 4]]"
9_18_3,"[[13, 5, 14, 4], [15, 9, 16, 8], [17, 11, 18, 10], [1, 7, 2, 6], [3, 13, 4, 12], [5, 3, 6, 2], [7, 17, 8, 16], [9, 15, 10, 14], [11, 1, 12, 18]]"
9_18_4,"[[11, 1, 12, 18], [13, 5, 14, 4], [15, 9, 16, 8], [17, 11, 18, 10], [1, 7, 2, 6], [3, 13, 4, 12], [5, 3, 6, 2], [7, 17, 8, 16], [9, 15, 10, 14]]"
9_18_5,"[[9, 15, 10, 14], [11, 1, 12, 18], [13, 5, 14, 4], [15, 9, 16, 8], [17, 11, 18, 10], [1, 7, 2, 6], [3, 13, 4, 12], [5, 3, 6, 2], [7, 17, 8, 16]]"
9_18_6,"[[7, 17, 8, 16], [9, 15, 10, 14], [11, 1, 12, 18], [13, 5, 14, 4], [15, 9, 16, 8], [17, 11, 18, 10], [1, 7, 2, 6], [3, 13, 4, 12], [5, 3, 6, 2]]"
9_18_7,"[[5, 3, 6, 2], [7, 17, 8, 16], [9, 15, 10, 14], [11, 1, 12, 18], [13, 5, 14, 4], [15, 9, 16, 8], [17, 11, 18, 10], [1, 7, 2, 6], [3, 13, 4, 12]]"
9_18_8,"[[3, 13, 4, 12], [5, 3, 6, 2], [7, 17, 8, 16], [9, 15, 10, 14], [11, 1, 12, 18], [13, 5, 14, 4], [15, 9, 16, 8], [17, 11, 18, 10], [1, 7, 2, 6]]"
9_18_9,"[[2, 8, 3, 7], [4, 14, 5, 13], [6, 4, 7, 3], [8, 18, 9, 17], [10, 16, 11, 15], [12, 2, 13, 1], [14, 6, 15, 5], [16, 10, 17, 9], [18, 12, 1, 11]]"
9_18_10,"[[18, 12, 1, 11], [2, 8, 3, 7], [4, 14, 5, 13], [6, 4, 7, 3], [8, 18, 9, 17], [10, 16, 11, 15], [12, 2, 13, 1], [14, 6, 15, 5], [16, 10, 17, 9]]"
9_18_11,"[[16, 10, 17, 9], [18, 12, 1, 11], [2, 8, 3, 7], [4, 14, 5, 13], [6, 4, 7, 3], [8, 18, 9, 17], [10, 16, 11, 15], [12, 2, 13, 1], [14, 6, 15, 5]]"
