name,computed_bridge_index
12a_1224_0,3
12a_1224_1,4
12a_1224_2,3
12a_1224_3,4
12a_1224_4,3
12a_1224_5,3
12a_1224_6,3
12a_1224_7,3
12a_1224_8,3
12a_1224_9,3
12a_1224_10,3
12a_1224_11,3
12a_1224_12,3
12a_1224_13,4
12a_1224_14,3
12a_1224_15,4
12a_1224_16,3
12a_1224_17,3
12a_1224_18,3
12a_1224_19,3
12a_1224_20,3
12a_1224_21,3
12a_1224_22,3
12a_1224_23,3
12a_1224_24,3
12a_1224_25,4
12a_1224_26,3
12a_1224_27,4
12a_1224_28,3
12a_1224_29,3
12a_1224_30,3
12a_1224_31,3
12a_1224_32,3
12a_1224_33,3
12a_1224_34,3
12a_1224_35,3
12a_1224_36,3
12a_1224_37,4
12a_1224_38,3
12a_1224_39,4
12a_1224_40,3
12a_1224_41,3
12a_1224_42,3
12a_1224_43,3
12a_1224_44,3
12a_1224_45,3
12a_1224_46,3
12a_1224_47,3
12a_1224_48,3
12a_1224_49,4
12a_1224_50,3
12a_1224_51,4
12a_1224_52,3
12a_1224_53,3
12a_1224_54,3
12a_1224_55,3
12a_1224_56,3
12a_1224_57,3
12a_1224_58,3
12a_1224_59,3
12a_1224_60,3
12a_1224_61,4
12a_1224_62,3
12a_1224_63,4
12a_1224_64,3
12a_1224_65,3
12a_1224_66,3
12a_1224_67,3
12a_1224_68,3
12a_1224_69,3
12a_1224_70,3
12a_1224_71,3
12a_1224_72,3
12a_1224_73,4
12a_1224_74,3
12a_1224_75,4
12a_1224_76,3
12a_1224_77,3
12a_1224_78,3
12a_1224_79,3
12a_1224_80,3
12a_1224_81,3
12a_1224_82,3
12a_1224_83,3
12a_1224_84,3
12a_1224_85,4
12a_1224_86,3
12a_1224_87,4
12a_1224_88,3
12a_1224_89,3
12a_1224_90,3
12a_1224_91,3
12a_1224_92,3
12a_1224_93,3
12a_1224_94,3
12a_1224_95,3
12a_1224_96,3
12a_1224_97,4
12a_1224_98,3
12a_1224_99,4
12a_1224_100,3
12a_1224_101,3
12a_1224_102,3
12a_1224_103,3
12a_1224_104,3
12a_1224_105,3
12a_1224_106,3
12a_1224_107,3
12a_1224_108,3
12a_1224_109,4
12a_1224_110,3
12a_1224_111,4
12a_1224_112,3
12a_1224_113,3
12a_1224_114,3
12a_1224_115,3
12a_1224_116,3
12a_1224_117,3
12a_1224_118,3
12a_1224_119,3
12a_1224_120,3
12a_1224_121,4
12a_1224_122,3
12a_1224_123,4
12a_1224_124,3
12a_1224_125,3
12a_1224_126,3
12a_1224_127,3
12a_1224_128,3
12a_1224_129,3
12a_1224_130,3
12a_1224_131,3
12a_1224_132,3
12a_1224_133,4
12a_1224_134,3
12a_1224_135,4
12a_1224_136,3
12a_1224_137,3
12a_1224_138,3
12a_1224_139,3
12a_1224_140,3
12a_1224_141,3
12a_1224_142,3
12a_1224_143,3
12a_1224_144,3
12a_1224_145,4
12a_1224_146,3
12a_1224_147,4
12a_1224_148,3
12a_1224_149,3
12a_1224_150,3
12a_1224_151,3
12a_1224_152,3
12a_1224_153,3
12a_1224_154,3
12a_1224_155,3
12a_1224_156,3
12a_1224_157,4
12a_1224_158,3
12a_1224_159,4
12a_1224_160,3
12a_1224_161,3
12a_1224_162,3
12a_1224_163,3
12a_1224_164,3
12a_1224_165,3
12a_1224_166,3
12a_1224_167,3
12a_1224_168,3
12a_1224_169,4
12a_1224_170,3
12a_1224_171,4
12a_1224_172,3
12a_1224_173,3
12a_1224_174,3
12a_1224_175,3
12a_1224_176,3
12a_1224_177,3
12a_1224_178,3
12a_1224_179,3
12a_1224_180,3
12a_1224_181,4
12a_1224_182,3
12a_1224_183,4
12a_1224_184,3
12a_1224_185,3
12a_1224_186,3
12a_1224_187,3
12a_1224_188,3
12a_1224_189,3
12a_1224_190,3
12a_1224_191,3
12a_1224_192,3
12a_1224_193,4
12a_1224_194,3
12a_1224_195,4
12a_1224_196,3
12a_1224_197,3
12a_1224_198,3
12a_1224_199,3
12a_1224_200,3
12a_1224_201,3
12a_1224_202,3
12a_1224_203,3
12a_1224_204,3
12a_1224_205,4
12a_1224_206,3
12a_1224_207,4
12a_1224_208,3
12a_1224_209,3
12a_1224_210,3
12a_1224_211,3
12a_1224_212,3
12a_1224_213,3
12a_1224_214,3
12a_1224_215,3
12a_1224_216,3
12a_1224_217,4
12a_1224_218,3
12a_1224_219,4
12a_1224_220,3
12a_1224_221,3
12a_1224_222,3
12a_1224_223,3
12a_1224_224,3
12a_1224_225,3
12a_1224_226,3
12a_1224_227,3
12a_1224_228,3
12a_1224_229,4
12a_1224_230,3
12a_1224_231,4
12a_1224_232,3
12a_1224_233,3
12a_1224_234,3
12a_1224_235,3
12a_1224_236,3
12a_1224_237,3
12a_1224_238,3
12a_1224_239,3
12a_1224_240,3
12a_1224_241,4
12a_1224_242,3
12a_1224_243,4
12a_1224_244,3
12a_1224_245,3
12a_1224_246,3
12a_1224_247,3
12a_1224_248,3
12a_1224_249,3
12a_1224_250,3
12a_1224_251,3
12a_1224_252,3
12a_1224_253,4
12a_1224_254,3
12a_1224_255,4
