name,pd_notation
8_2_0,"[[16, 8, 1, 7], [2, 11, 3, 12], [4, 14, 5, 13], [6, 16, 7, 15], [8, 2, 9, 1], [10, 3, 11, 4], [12, 10, 13, 9], [14, 6, 15, 5]]"
8_2_1,"[[14, 6, 15, 5], [16, 8, 1, 7], [2, 11, 3, 12], [4, 14, 5, 13], [6, 16, 7, 15], [8, 2, 9, 1], [10, 3, 11, 4], [12, 10, 13, 9]]"
8_2_2,"[[12, 10, 13, 9], [14, 6, 15, 5], [16, 8, 1, 7], [2, 11, 3, 12], [4, 14, 5, 13], [6, 16, 7, 15], [8, 2, 9, 1], [10, 3, 11, 4]]"
8_2_3,"[[10, 3, 11, 4], [12, 10, 13, 9], [14, 6, 15, 5], [16, 8, 1, 7], [2, 11, 3, 12], [4, 14, 5, 13], [6, 16, 7, 15], [8, 2, 9, 1]]"
8_2_4,"[[8, 2, 9, 1], [10, 3, 11, 4], [12, 10, 13, 9], [14, 6, 15, 5], [16, 8, 1, 7], [2, 11, 3, 12], [4, 14, 5, 13], [6, 16, 7, 15]]"
8_2_5,"[[6, 16, 7, 15], [8, 2, 9, 1], [10, 3, 11, 4], [12, 10, 13, 9], [14, 6, 15, 5], [16, 8, 1, 7], [2, 11, 3, 12], [4, 14, 5, 13]]"
8_2_6,"[[4, 14, 5, 13], [6, 16, 7, 15], [8, 2, 9, 1], [10, 3, 11, 4], [12, 10, 13, 9], [14, 6, 15, 5], [16, 8, 1, 7], [2, 11, 3, 12]]"
8_2_7,"[[2, 11, 3, 12], [4, 14, 5, 13], [6, 16, 7, 15], [8, 2, 9, 1], [10, 3, 11, 4], [12, 10, 13, 9], [14, 6, 15, 5], [16, 8, 1, 7]]"
8_2_8,"[[1, 9, 2, 8], [3, 12, 4, 13], [5, 15, 6, 14], [7, 1, 8, 16], [9, 3, 10, 2], [11, 4, 12, 5], [13, 11, 14, 10], [15, 7, 16, 6]]"
8_2_9,"[[15, 7, 16, 6], [1, 9, 2, 8], [3, 12, 4, 13], [5, 15, 6, 14], [7, 1, 8, 16], [9, 3, 10, 2], [11, 4, 12, 5], [13, 11, 14, 10]]"
8_2_10,"[[13, 11, 14, 10], [15, 7, 16, 6], [1, 9, 2, 8], [3, 12, 4, 13], [5, 15, 6, 14], [7, 1, 8, 16], [9, 3, 10, 2], [11, 4, 12, 5]]"
8_2_11,"[[11, 4, 12, 5], [13, 11, 14, 10], [15, 7, 16, 6], [1, 9, 2, 8], [3, 12, 4, 13], [5, 15, 6, 14], [7, 1, 8, 16], [9, 3, 10, 2]]"
8_2_12,"[[9, 3, 10, 2], [11, 4, 12, 5], [13, 11, 14, 10], [15, 7, 16, 6], [1, 9, 2, 8], [3, 12, 4, 13], [5, 15, 6, 14], [7, 1, 8, 16]]"
8_2_13,"[[7, 1, 8, 16], [9, 3, 10, 2], [11, 4, 12, 5], [13, 11, 14, 10], [15, 7, 16, 6], [1, 9, 2, 8], [3, 12, 4, 13], [5, 15, 6, 14]]"
8_2_14,"[[5, 15, 6, 14], [7, 1, 8, 16], [9, 3, 10, 2], [11, 4, 12, 5], [13, 11, 14, 10], [15, 7, 16, 6], [1, 9, 2, 8], [3, 12, 4, 13]]"
8_2_15,"[[3, 12, 4, 13], [5, 15, 6, 14], [7, 1, 8, 16], [9, 3, 10, 2], [11, 4, 12, 5], [13, 11, 14, 10], [15, 7, 16, 6], [1, 9, 2, 8]]"
8_2_16,"[[2, 10, 3, 9], [4, 13, 5, 14], [6, 16, 7, 15], [8, 2, 9, 1], [10, 4, 11, 3], [12, 5, 13, 6], [14, 12, 15, 11], [16, 8, 1, 7]]"
8_2_17,"[[16, 8, 1, 7], [2, 10, 3, 9], [4, 13, 5, 14], [6, 16, 7, 15], [8, 2, 9, 1], [10, 4, 11, 3], [12, 5, 13, 6], [14, 12, 15, 11]]"
8_2_18,"[[14, 12, 15, 11], [16, 8, 1, 7], [2, 10, 3, 9], [4, 13, 5, 14], [6, 16, 7, 15], [8, 2, 9, 1], [10, 4, 11, 3], [12, 5, 13, 6]]"
8_2_19,"[[12, 5, 13, 6], [14, 12, 15, 11], [16, 8, 1, 7], [2, 10, 3, 9], [4, 13, 5, 14], [6, 16, 7, 15], [8, 2, 9, 1], [10, 4, 11, 3]]"
